Number,Summary Nr,Report ID,Fatality,NAICS,Event Description,Abstract,Keywords,End User,Project Type,Project Cost,Non building height,Fatality.1,Age,Sex,Degree of injury,occpation,Max T,Min T,Dew Max,Dew Min,Max Wind Speed,Sea Level Pressure (in),Time,Temperature,Dew Point,Humidity,Wind,Pressure,Precip.,Condition,ZipCode,State,Season,Wind Speed,Wind Gust,Latitude,Longitude,Location,Event Date,Cloudcover,Visiblity,Solar Radiation,Solar Energy,UV Index
1082,136713.015,950641,X,238160,"Employee Falls From Roof, Later Dies","Abstract: At 3:56 p.m. on May 24, 2021, an employee fell approximately sixteen feet from a roof. The employee was transported to the hospital for treatment and later died.","Keywords: Fall, Fall Protection, Roof",Other building,Alteration or rehabilitation,,,X,60,M,Fatality,Roofers,88,54,49.0,42.0,13,30.07,15:53:00,87 °F,43 °F,21 %,S,29.94 in,0.0 in,Fair,95822,CA,Spring,10 mph,0 mph,38.5232013,-121.4987475,CA 95822,2021-05-24,,,,,
1083,135159.015,950621,X,238160,"Employee Loses Balance, Falls, And Is Killed By Head Injury","Abstract: At 3:15 p.m. on April 27, 2021, an employee worked to replace the flashing around a chimney approximately thirty-nine inches from the roof edge on a four-in-twelve slope roof. As the employee pulled the old flashing off, the caulking broke and caused the employee to lose balance, fall backwards approximately nine feet to the patio below. The employee received blunt force trauma to the head and was killed.","Keywords: Back, Blunt force trauma, Chimney, Fall, Fall Protection, Head, Lost Balance, Patio, Roof, Roofer",Single family or duplex dwelling,Alteration or rehabilitation,,,X,58,M,Fatality,Roofers,66,54,54.0,41.0,13,29.97,14:53:00,65 °F,41 °F,42 %,SSW,29.89 in,0.0 in,Fair,92801,CA,Spring,10 mph,0 mph,33.8449632,-117.9540481,CA 92801,2021-04-27,,,,,
1084,134630.015,950631,X,238160,Employee Falls From Extension Ladder And Is Killed,"Abstract: At 9:26 a.m. on March 21, 2021, an employee and coworker worked on the flat roof of a school to clear trash and debris. The employee and coworker completed the work and the coworker began to walk around the roof to take pictures of the completed task. The coworker returned to where an extension ladder was located to climb down from the roof and found the ladder and employee had fallen approximately twelve feet and was killed.","Keywords: Cleaning, Climbing on Ladder, Descending, Extension Ladder, Fall, Fall Protection, Ladder, Roof",Commercial building,Maintenance or repair,,,X,49,M,Fatality,Construction Laborer,67,47,44.0,33.0,17,29.06,09:53:00,55 °F,41 °F,59 %,WSW,29.05 in,0.0 in,Fair,92335,CA,Spring,5 mph,0 mph,34.0900814,-117.4638937,CA 92335,2021-03-21,,,,,
1085,136425.015,950633,,238160,Employee Fractures Leg In Fall From Elevation,"Abstract: At 4:15 p.m. on March 2, 2021, an employee was standing on the roof when the employee fell approximately 20 feet onto the ground. The employee suffered a fractured left leg and was hospitalized.","Keywords: Elevated Work Plat, Elevated Work Platform, Fall, Fracture, Leg",Single family or duplex dwelling,New project or new addition,,,,47,M,Hospitalized injury,Construction Laborer,71,38,37.0,29.0,9,29.98,15:53:00,71 °F,30 °F,22 %,N,29.82 in,0.0 in,Mostly Cloudy,95628,CA,Spring,6 mph,0 mph,38.6498347,-121.2720218,CA 95628,2021-03-02,,,,,
1086,135702.015,950621,,238160,Employee Trips Over Cinder Blocks And Fractures Leg,"Abstract: At 10:00 a.m. on January 28, 2021, Employee #1, employed by a roofing contractor, was working at the site of a single family residence. He was loading tree stumps into a dump truck when he tripped and fell over cinder blocks. The employee sustained a fractured leg. The employee was transported to the hospital and admitted for treatment of the fracture.","Keywords: Blunt force trauma, Concrete Block, Contact, Dump Truck, Fall, Fall Protection, Fracture, Leg, Loading, Residential Construction, Struck Against, Tree Stumping, Tripped",Other building,Alteration or rehabilitation,,10,,32,M,Hospitalized injury,Roofers,51,47,48.0,43.0,23,29.75,09:53:00,50 °F,46 °F,86 %,SE,29.71 in,0.0 in,Light Rain,95035,CA,Winter,12 mph,0 mph,37.4329054,-121.8895291,CA 95035,2021-01-28,,,,,
1087,132609.015,950612,,238160,"Employee Falls With Ladder, Fractures Arm And Leg","Abstract: At 8:30 a.m. on January 18, 2021, Employee #1, a driver/laborer employed by a roofing contractor, was working at the site of a one-story apartment building where the employer had contracted to remove the existing roof and install a new roof covering. The employee set up a portable 24-foot Werner aluminum extension ladder, Model No D1524-2, for access to the roof. As he attempted to ascend the ladder, it slipped, and both Employee and ladder fell to the concrete surface, a fall height of approximately 7 to 9 feet. The employee was transported to the hospital and admitted for treatment of a fractured left arm and fractured left leg.","Keywords: Arm, Blunt force trauma, Concrete, Demolition, Extension Ladder, Fall, Fall Protection, Fracture, Installing, Leg, Rehabilitation, Repair, Residential Construction, Roof, Roofer, Slip, Struck Against, Unsecured, Untrained",Multi-family dwelling,Maintenance or repair,,,,56,M,Hospitalized injury,"Truck drivers, light",77,52,40.0,9.0,20,29.95,08:53:00,65 °F,21 °F,19 %,NNW,29.91 in,0.0 in,Fair,95035,CA,Winter,14 mph,23 mph,37.4329054,-121.8895291,CA 95035,2021-01-18,,,,,
1088,137791.015,950632,,238160,Employee Fractures Arm In Fall Through Roof Skylight,"Abstract: At 11:27 a.m. on January 13, 2021, Employee #1, employed by a roofing contractor, was cleaning debris from roof tops at a condominium complex. He was using a 30-pound gasoline-operated blower. He was cleaning the roof of the single-story community center, which featured a convex, unguarded skylight that measured 53 inches by 101 inches. The area around the skylight was narrow and limited. As the employee moved around the skylight to perform his cleaning task, he fell through it and onto the carpeted floor below, a fall height of 13 feet. The employee was transported to the hospital and admitted for treatment of a fractured left arm that required surgery. The investigation determined there had been no place for the employee to tie-off on the roof top area, and no site specific evaluation and safety measures had been taken to prevent a fall.","Keywords: Arm, Blunt force trauma, Cleaning, Fall, Fall Protection, Fracture, Residential Construction, Roof, Skylight, Unguarded",,,,,,19,M,Hospitalized injury,Construction laborers,68,49,51.0,24.0,6,29.89,11:53:00,66 °F,24 °F,20 %,SW,29.86 in,0.0 in,Fair,92009,CA,Winter,3 mph,0 mph,33.0958523,-117.2567007,CA 92009,2021-01-13,,,,,
1089,131324.015,950641,X,238160,Employee Repairing Roof Fascia Is Killed In Fall,"Abstract: At 9:30 a.m. on November 17, 2020, Employee #1, employed by a roofing company, was on the roof of a residence and preparing chalk lines for a fascia repair. The employee fell, a fall height of 10 feet, and struck his head on the dirt and/or paving stone at surface level. Employee #1 sustained blunt force traumatic injury to his head and was killed.","Keywords: Blunt force trauma, Fall, Fall Protection, Head, Repair, Residential Construction, Roof, Roofer",Single family or duplex dwelling,Alteration or rehabilitation,,10,X,31,M,Fatality,Roofers: Helpers,80,53,44.0,23.0,12,29.25,08:53:00,56 °F,34 °F,44 %,E,29.22 in,0.0 in,Fair,90065,CA,Fall,3 mph,0 mph,34.1036071,-118.2149518,CA 90065,2020-11-17,,,,,
1090,129704.015,950643,X,238160,Employee Falls Through Opening In Roof And Is Killed,"Abstract: At 12:50 p.m. on September 21, 2020, Employee #1 and coworkers, employed by a roofing contractor, were replacing the entire roofing system of a one-story commercial building. The initial work involved removing the surface roofing material, the skylights, and the underlying plywood sheets, thereby creating openings in the roof and a leading edge. The employees, after finishing lunch, were returning to work and the next process, which was to replace the old plywood sheets. Employee #1, who did not put on a personal fall protection system before returning to the leading edge area, fell through the opening in the roof, a fall height of 28 feet, and struck his head on the concrete floor. Employee #1 sustained a fractured skull and was killed.","Keywords: Blunt force trauma, Concrete, Construction, Dismantling, Fall, Fall Protection, Floor Hole, Fracture, Installing, Leading Edge, Plywood, Rehabilitation, Roof, Roof Decking, Roofer, Skull, Struck Against",Commercial building,Alteration or rehabilitation,,28,X,26,M,Fatality,Roofers,85,62,61.0,53.0,10,29.15,12:53:00,81 °F,57 °F,44 %,S,29.11 in,0.0 in,Fair,91605,CA,Fall,8 mph,0 mph,34.1868876,-118.403358,CA 91605,2020-09-21,,,,,
1091,125369.015,950632,,238160,Employee Falls From Roof And Fractures Hip,"Abstract: At 10:15 am, on March 30, 2020, Employee #1 was working for a roofing contractor. Employee #1 was replacing some tile on the roof of a 2-story home. Employee #1 was working on the 2nd story using a personal fall arrest system. Employee #1 was in the process of switching his lanyard from one anchor point to another. Employee #1 slipped and fell to the 1st story porch roof, he tried to grab onto the rain gutter to stop his fall but missed it and continued to fall. Employee #1 fell approximately 10-feet to the brick walkway below. Employee #1 fractured his hip and was hospitalized.","Keywords: Fall, Fall From Elevation, Fall Protection, Fracture, Gutter, Hip, Residential Construction, Roof, Roofer, Roofing, Slid, Tile",,,,10,,44,M,Hospitalized injury,Roofers,69,56,56.0,49.0,13,30.23,09:51:00,66 °F,49 °F,54 %,VAR,30.22 in,0.0 in,Fair,92106,CA,Spring,5 mph,0 mph,32.7293796,-117.231436,CA 92106,2020-03-30,,,,,
1092,126063.015,950647,,238160,Employee Falls From Roof And Suffers Head Injury,"Abstract: At 4:32 p.m. on March 18, 2020, Employee #1 was working for a roofing contractor. Employee #1 was covering the roof with a plastic cover in preparation for the rain forecast. Employee #1 stepped on an unsupported piece of plywood at the corner of the roof. The piece of plywood came loose causing Employee #1 was not wearing fall protection and fell 8 feet to the ground and momentarily lost consciousness. Employee #1 sustained a head contusion and concussion. Employee #1 received medical treatment but was not hospitalized.","Keywords: Concussion, Contusion, Cover, Deck, Decking, Fall, Fall From Elevation, Fall Protection, Head, Plywood, Roof, Roofer, Waterproofing",Single family or duplex dwelling,Maintenance or repair,,8,,25,M,Non Hospitalized injury,Roofers: Helpers,59,41,41.0,34.0,12,29.42,16:54:00,59 °F,34 °F,39 %,WNW,29.29 in,0.0 in,Fair,93304,CA,Spring,12 mph,0 mph,35.3437952,-119.0298053,CA 93304,2020-03-18,,,,,
1093,124797.015,950612,,238160,Employee Falls From Roof And Fractures Head,"Abstract: At 1:15 p.m. on March 11, 2020, Employee #1 was working for a roofing contractor, while working on the roof of a house removing debris. Employee #1 was removing shingles and other materials from the roof when he walked backwards and either mis-stepped or tripped and fell from the roof approximately 10 feet. Employee #1 suffered injuries to his head and face and was hospitalized.","Keywords: Face, Fall, Fall From Elevation, Fracture, Head, Roof, Roofer, Tripped, Walking Backward",,,,,,32,M,Hospitalized injury,Roofers,67,50,52.0,45.0,13,29.85,12:54:00,66 °F,49 °F,54 %,WNW,29.82 in,0.0 in,Fair,93923,CA,Spring,8 mph,0 mph,36.5563263,-120.6581579,CA 93923,2020-03-11,,,,,
1094,127556.015,950641,,238160,"Employee Falls Off Ladder, Fractures Lower Back And Wrist","Abstract: At approximately 9:00 a.m. on February 21, 2020, an employee, working for a contracting company, was performing work on the roof of a residential property. As the employee was climbing up a ladder, the ladder began sinking into the dirt and the employee fell approximately 8 to 10 feet to the ground. The employee was hospitalized and treated for multiple fractures to the lower back and wrist.","Keywords: Back, Construction, Fall, Fall From Elevation, Fracture, Ladder, Residential Construction, Roof, Wrist",Single family or duplex dwelling,Maintenance or repair,,,,54,M,Hospitalized injury,Roofers,76,51,53.0,27.0,14,29.21,08:53:00,61 °F,32 °F,34 %,NNW,29.21 in,0.0 in,Partly Cloudy,90031,CA,Winter,6 mph,0 mph,34.0728909,-118.212454,CA 90031,2020-02-21,,,,,
1095,127900.015,950643,,238160,Employee Fractures Ankle And Injures Wrist In Slip And Fall,"Abstract: At 8:30 a.m. on February 15, 2020, Employee # 1, employed by a construction roofing contractor, was on a roof picking up nails to start work for the day. The paper that was placed on the roof before the shingles are installed has an oily residual and it was covered with morning dew. Employee #1 slipped and fell from the roof. The employee fractured his left ankle and hurt his left wrist. Employee #1 was hospitalized for treatment.","Keywords: Ankle, Fall, Fall From Elevation, Fracture, Roof, Roofer, Slippery Surface, Wrist",Single family or duplex dwelling,Maintenance or repair,,,,32,M,Hospitalized injury,Roofers,69,43,47.0,33.0,9,29.35,07:53:00,43 °F,34 °F,71 %,CALM,29.31 in,0.0 in,Fair,93063,CA,Winter,0 mph,0 mph,34.2704829,-118.6778118,CA 93063,2020-02-15,,,,,
1096,125180.015,950644,,238160,"Employee Falls From Roof, Receives Rib Fractures And Interna","Abstract: At 3:00 p.m. on January 27, 2020, an employee worked to install a new roof on an existing home. While standing on the roof, the employee lost balance and fell approximately nine feet. The employee was hospitalized to treat eight rib fractures and contusions to internal organs.","Keywords: Contusion, Fall, Fall From Elevation, Fall Protection, Fracture, Internal Injuries, Lost Balance, Rib, Roof, Roofer",Single family or duplex dwelling,Alteration or rehabilitation,,9,,65,M,Hospitalized injury,Roofers: Helpers,71,45,50.0,27.0,10,30.02,14:53:00,71 °F,29 °F,21 %,S,29.89 in,0.0 in,Fair,91746,CA,Winter,9 mph,0 mph,34.0479128,-117.9822767,CA 91746,2020-01-29,,,,,
1097,126508.015,950643,,238160,"Employee Falls From Roof, Receives Skull Fracture And Back I","Abstract: At 10:30 a.m. on January 28, 2020, an employee accessed a roof by a straight ladder to begin removing old wood near the roof edge. At some point, the employee fell approximately nine feet and found by a coworker, who called for emergency response. The employee was taken to the hospital and admitted to treat a skull fracture and back injuries.","Keywords: Back, Fall, Fall From Elevation, Fall Protection, Fracture, Ladder, Roof, Roofer, Skull",,,,10,,43,M,Hospitalized injury,Roofers,76,53,32.0,17.0,15,29.35,10:53:00,65 °F,31 °F,28 %,CALM,29.35 in,0.0 in,Fair,91401,CA,Winter,0 mph,0 mph,34.1758816,-118.4380544,CA 91401,2020-01-28,,,,,
1098,124937.015,950613,,238160,Employee Is Injured In Fall From Ladder,"Abstract: At 9:00 a.m. on January 23, 2020, Employee #1 was patching up a small area of a residence's roof by installing new composition asphalt shingle around the chimney. To access the roof, he used an 8-foot standing ladder found near the roof, which he later stated was more convenient than getting a ladder from the truck provided by the employer. The ladder he used was too short for safe usage, because the roof eaves were approximately 8 feet high, and therefore the ladder did not have a 3-foot clearance above his landing on the roof. The employee removed 10 pieces of composition asphalt shingle roof material, which weighed approximately 15 pounds. He put the 15 pounds of asphalt shingle in a plastic bag and carried it with his right hand as he climbed down the ladder. When the employee was on the fourth step and about to land on the third step of the ladder, he slightly missed the step, lost his balance, and fell from the ladder, landing on the wooden floor of a balcony, a fall height of 3 feet. The employee required hospitalization and treatment of serious injuries.","Keywords: Blunt force trauma, Carry, Clearance, Descending Ladder, Fall, Fall Protection, Ladder, Lost Balance, Rehabilitation, Repair, Residential Construction, Roof",,,,,,54,M,Hospitalized injury,Roofers: Helpers,57,48,49.0,44.0,5,30.24,08:56:00,50 °F,47 °F,89 %,SE,30.22 in,0.0 in,Mostly Cloudy,94002,CA,Winter,5 mph,0 mph,37.5179845,-122.2953467,CA 94002,2020-01-23,,,,,
1099,127761.015,950625,,238160,Employee Fractures Ankle In Fall From Roof,"Abstract: At 10:15 a.m. on January 20, 2020, Employee #1, employed by a roofing contractor, was installing the drip edge on the roof of a new one-story residence. The employee's foot slipped, and he fell from the roof top, a fall height of 10 feet 10 inches. The employee was hospitalized for treatment of a fracture to the right foot.","Keywords: Fall, Fall Protection, Foot, Fracture, Installing, Residential Construction, Roof, Roofer, Slip",,,,10,,25,M,Hospitalized injury,Roofers,53,42,46.0,40.0,12,29.74,09:53:00,44 °F,41 °F,89 %,S,29.72 in,0.0 in,Fog,93611,CA,Winter,3 mph,0 mph,36.8308676,-119.6938742,CA 93611,2020-01-20,,,,,
1100,125649.015,950613,,238160,Employee Fractures Back In Fall From Bed Of Pickup Truck,"Abstract: At 9:00 a.m. on January 11, 2020, an employee, a roofer and safety officer, was on the bed of a 2006 Chevy Silverado 3500 pickup truck handing down pipes to a coworker when he slipped and fell approximately 3 feet to the ground. The employee was transported by ambulance to the hospital and was admitted to treat a spinal fracture.","Keywords: Back, Blunt force, Blunt force trauma, Fall, Fall From Elevation, Fracture, Pickup Truck, Pipe, Slip, Spine, Unloading",Single family or duplex dwelling,New project or new addition,,3,,72,M,Hospitalized injury,Roofers,56,49,47.0,41.0,21,30.31,09:03:00,49 °F,46 °F,90 %,CALM,30.27 in,0.0 in,Mostly Cloudy,94061,CA,Winter,0 mph,0 mph,37.4668148,-122.2208833,CA 94061,2020-01-11,,,,,
1101,123081.015,950641,,238160,Employee Fractures Back In Fall From Roof,"Abstract: At 8:00 a.m. on December 27, 2019, an employee was working on a single-story roof installing asphalt shingles when he fell off roof. The employee was hospitalized to treat a fractured back.","Keywords: Back, Blunt force, Blunt force trauma, Fall, Fall From Elevation, Fracture, Installing, Roof, Roofer",Commercial building,New project or new addition,,,,42,M,Hospitalized injury,Roofers,61,43,34.0,24.0,13,29.19,07:53:00,45 °F,32 °F,60 %,NNW,29.08 in,0.0 in,Fair,91107,CA,Winter,10 mph,0 mph,34.1537546,-118.0874041,CA 91107,2019-12-27,,,,,
1102,126426.015,950632,,238160,Employee Fractures Back In Fall From Roof To Balcony,"Abstract: At 2:30 p.m. on December 21, 2019, an employee was torching down roofing material of a two-story residence and was walking towards the end seam edge of the roof when his left foot stepped off the edge and he lost his balance. The employee fell eight feet onto balcony deck below. At the time of the accident, the working height was less than the 20-foot fall protection trigger height. The employee was hospitalized to treat two fractured vertebrae that required a full back brace and occupational therapy.","Keywords: Back, Balcony, Blunt force, Blunt force trauma, Fall, Fall From Elevation, Fracture, Leading Edge, Lost Balance, Roof, Roofer, Step, Torch burning, Vertebra, Walking Surface",,Maintenance or repair,,17,,37,M,Hospitalized injury,Roofers,71,48,36.0,22.0,6,29.78,13:53:00,69 °F,22 °F,17 %,CALM,29.69 in,0.0 in,Fair,92014,CA,Winter,0 mph,0 mph,32.9558875,-117.2538771,CA 92014,2019-12-21,,,,,
1103,123432.015,950613,,238160,"Employee Sustains Fractures, Punctures Lung In Fall Off Roof","Abstract: At 9:30 a.m. on December 18, 2019, an employee was working as a foreman for roofing contractor on a residential project. For the previous two days, both the employee and a coworker (roofer) had replaced composite roof shingles on the residence. They arrived at the job site at approximately 9:00 a.m. that morning. At the time, they were finishing up the job by fixing a metal plate on a chimney located on the roof towards the front of the house. They were also tasked with inspecting the entire roof. The coworker erected a ladder at the entrance to the stairs on the right side of the house and held it securely so that the employee could climb up to a patio roof. The employee climbed the ladder and stepped onto metal flashing on the edge of the roof. The flashing on the leading edge of the roof was wet causing the employee to slip. The employee fell 15 feet 5 inches from the leading edge of the roof landing on the dirt ground below. The employee fractured seven ribs and his left shoulder rotator cuff and a punctured a lung, requiring hospitalization.","Keywords: Blunt force, Blunt force trauma, Chest, Fall, Fall From Elevation, Fall Protection, Fracture, Installing, Ladder, Lung, Misjudgement, Misjudgement of Hazardous Situation, Patio, Puncture, Puncture Wound, Rib, Roof, Roofer, Shoulder, Slip, Slippery Surface, Wet, Work Surface",Single family or duplex dwelling,Maintenance or repair,,15,,34,M,Hospitalized injury,Roofers,58,49,52.0,42.0,21,30.11,09:56:00,51 °F,48 °F,89 %,ESE,30.00 in,0.0 in,Cloudy,94044,CA,Winter,12 mph,0 mph,37.6246079,-122.4920339,CA 94044,2019-12-18,,,,,
1104,126287.015,950643,,238160,Employee Sustains Concussion And Fractures In Fall From Roof,"Abstract: At 9:40 a.m. on December 12, 2019, an employee working as a construction laborer for a roofing contractor was working at a hospital maintenance building. The employee was working on a crew removing roofing material and debris from the building. The crew was loading roofing debris onto a truck using a chute. The truck left with the chute to head to the landfill. The crew got another truck and set it up with a planked ramp to fill the truck. The employee was loading the truck to the front using the ramp for about an hour. The planked runway was approximately 24 inches wide, which is smaller than the required 40 inches. The employee fell off the ramp toward the edge of the roof and then fell 10 feet near the end of the truck. The employee fractured his scalp, mastoid process, ribs, scapular bone and lumbar and was hospitalized.","Keywords: Back, Blunt force, Blunt force trauma, Building, Commercial Building, Concussion, Construction, Construction vehicle, Debris, Dump Truck, Fall, Fall From Elevation, Fall Protection, Fracture, Head, Laborer, Loading, Lumbar Fracture, Lumbar Injury, Misjudgement, Misjudgement of Hazardous Situation, Ramp, Roof, Shoulder, Shoulder Bone, Skull, Spine, Walking On Plank, Walking Surface",Commercial building,Alteration or rehabilitation,,,,66,M,Hospitalized injury,CA 91355,71,49,49.0,42.0,8,29.39,09:40:00,51 °F,44 °F,77 %,CALM,29.38 in,0.0 in,Partly Cloudy,91355,CA,Winter,0 mph,0 mph,34.400621,-118.5529587,CA 91355,2019-12-12,,,,,
1105,124980.015,950621,,238160,Employee Sustains Head Trauma In Fall From Roof,"Abstract: At 5:00 p.m. on December 10, 2019, an employee was preparing to install new roofing material, either doing a tear off or putting down paper. The employee fell 15 and a half foot from the roof, which had a 8:12 pitch. The employee did not have fall protection. The employee sustained heat trauma, resulting in hospitalization.","Keywords: Fall, Fall From Elevation, Fall Protection, Head, Roof, Roofer, Traumatic",Single family or duplex dwelling,Maintenance or repair,,15,,38,M,Hospitalized injury,Roofers: Helpers,53,42,49.0,42.0,8,30.25,17:00:00,53 °F,48 °F,83 %,N,30.18 in,0.0 in,Cloudy,95695,CA,Winter,3 mph,0 mph,38.6806789,-121.784504,CA 95695,2019-12-10,,,,,
1106,125774.015,950632,,238160,Employee Fractures Both Wrists In Fall From Roof,"Abstract: At 3:00 p.m. on December 9, 2019, an employee was replacing fascia trim around the perimeter of a house, approximately 10 feet above ground, prior to installing new roofing materials. The employee stepped on damaged shiplap, fell, and landed on the concrete below. The lack of a harness or equivalent fall protection was a contributing factor to the accident. The employee fractured his left and right wrists, requiring surgery and inpatient hospitalization for six days.","Keywords: Fall, Fall From Elevation, Fall Protection, Fracture, Harness, Roof, Roof Panel, Roofer, Wrist",Multi-family dwelling,Maintenance or repair,,10,,37,M,Hospitalized injury,Carpenters,62,50,54.0,49.0,10,29.78,15:00:00,62 °F,52 °F,70 %,W,29.70 in,0.0 in,Fair,92025,CA,Winter,6 mph,0 mph,33.1066533,-117.068798,CA 92025,2019-12-09,,,,,
1107,123047.015,950647,,238160,Employee Injures Back In Fall From Ladder,"Abstract: At 8:00 a.m. on December 6, 2019, an employee and coworker were preparing to install roofing paper on wood sheeting, the employee ascended a 9-foot extension ladder with a roll of roofing paper on his shoulder. The roofing paper weighed approximately 40-45 pounds. The employee fell and injured his back, resulting in hospitalization.","Keywords: Back, Carry, Climbing on Ladder, Construction, Fall, Fall From Elevation, Ladder, Roof, Roofer",Other building,New project or new addition,,9,,23,M,Hospitalized injury,Roofers,64,48,54.0,46.0,13,29.9,08:00:00,48 °F,47 °F,96 %,CALM,29.87 in,0.0 in,Fair,93446,CA,Winter,0 mph,0 mph,35.6497811,-120.698359,CA 93446,2019-12-06,,,,,
1108,122335.015,950612,,238160,Employee Fractures Vertebra In Fall From Roof,"Abstract: At 11:00 a.m. on December 5, 2019, an employee applying a coat of primer on a low sloped roof of a two-story residential dwelling without fall protection. The employee was working near the edge of the roof and a coworker, the foreman, failed to ensure that the employee was tied off. The employee took a step, lost his balance, and fell 16 feet to the concrete ground below. The employee sustained fractures to his wrist, tailbone, pelvis, and vertebrae. The employee was hospitalized for approximately one week.","Keywords: Construction, Fall, Fall From Elevation, Fall Protection, Fracture, Lost Balance, Pelvis, Residential Construction, Roof, Roofer, Tailbone, Vertebra, Wrist",Single family or duplex dwelling,Other,,16,,24,M,Hospitalized injury,Roofers: Helpers,82,75,66.0,63.0,20,29.99,11:00:00,82 °F,63 °F,52 %,ENE,29.98 in,0.0 in,Mostly Cloudy,96701,HI,Winter,13 mph,0 mph,21.3798453,-157.9256473,HI 96701,2019-12-05,,,,,
1109,124502.015,951510,,238160,Employee Sustains Multiple Fractures In Fall From Roof,"Abstract: At 8:41 a.m. on December 5, 2019, Employee #1 was standing on a roof of a private residence. The employee was a member of a construction crew that was installing new roofing shingles on the home. The employee slipped from the roof and fell approximately 12.5 feet to the ground below. The employee was hospitalized to treat a fractured vertebra.","Keywords: Construction, Fall, Fall From Elevation, Fracture, Residential Construction, Roof, Slip, Vertebra",,,,,,35,M,Hospitalized injury,Carpenters,62,47,53.0,46.0,14,30.03,08:41:00,47 °F,46 °F,97 %,CALM,29.98 in,0.0 in,Partly Cloudy,95066,CA,Winter,0 mph,0 mph,37.0560735,-122.0145751,CA 95066,2019-12-05,,,,,
1110,124959.015,950647,,238160,"Employee Incurs Multiple Injuries In Fall From Ladder, Later","Abstract: At 1:30 p.m. on November 26, 2019, a project manager (Employee #1) arrived at the construction site to waterproof the roofing job prior to a rainstorm coming later in the week. The plastic that was going to be used was already on the roof. A coworker, who was the Project Engineer, had arrived 5 minutes before Employee #1 and was already on the flat roof. Shortly after arriving, Employee #1 was found by the site superintendent on the concrete ground, at the base of the extension ladder that goes to the roof. No one witnessed him fall, and Employee #1 does not remember falling. The ladder to the roof was a 24-foot extension ladder that was set up over the top of the parapet. The top of the parapet was 15 feet 6 inches from the ground. The ladder was still in place and tied off at the time of the accident. Employee #1 sustained a head injury, broken nose, broken rib and a back injury. He was hospitalized. He has no feeling and is paralyzed below the waist.","Keywords: Back, Broken Bone, Concrete Floor, Construction, Extension Ladder, Fall, Fall From Elevation, Head, Nose, Paralysis, Plastic, Rib, Roof, Waterproofing",,,,,,35,M,Hospitalized injury,Roofers,54,46,47.0,32.0,38,30.09,13:30:00,54 °F,38 °F,55 %,S,29.94 in,0.0 in,Cloudy,94598,CA,Fall,7 mph,0 mph,37.9223989,-122.0264941,CA 94598,2019-11-26,,,,,
1111,126460.015,950615,,238160,Employee Incurs Multiple Injuries In Fall Off Roof,"Abstract: At 7:30 a.m. on November 26, 2019, Employee #1 was working for V. Mendoza Roofing, Inc., a general roofing contractor that provides roofing services for residential and commercial projects throughout Northern California. The employer has approximately 10 employees and was contracted for a re-roofing job at a private residential home located in Walnut Creek, CA. Employee #1 was assigned by a coworker to bring the tools and material to the top of the roof anticipating the completion of the project on that day. After placing some material on the roof, he went back down to gather more material. Upon returning, he climbed up the ladder that was placed at the front of the home to access the second story rooftop in the back of the house. As he stepped onto the second story, he slipped and fell off the rooftop approximately 22 feet to ground level. Employee #1 was transported to John Muir Hospital Walnut Creek, where he was hospitalized for over 24 hours and underwent surgery for his fractured hand, shoulder, and ribs. During the course of the inspection several causal factors were identified. The employer did not provide training and instruction to the new employee to ensure that Employee #1 complied with safe work practices for the work being done. Evaluating the work site and identifying potential hazards would have ensured that employees were properly protected from falls when accessing the second story rooftop at a height of 22 feet, thus preventing Employee #1 from falling to ground level.","Keywords: Climbing on Ladder, Extension Ladder, Fall, Fall From Elevation, Fracture, Hand, Residential Construction, Rib, Roof, Shoulder, Untrained",Single family or duplex dwelling,Maintenance or repair,,22,,31,M,Hospitalized injury,Roofers,55,39,30.0,22.0,9,29.54,07:30:00,40 °F,28 °F,63 %,SE,29.49 in,0.0 in,Fair,93268,CA,Fall,6 mph,0 mph,35.1423151,-119.4566576,CA 93268,2019-11-26,,,,,
1112,121982.015,950612,X,238160,Employee Is Killed In Fall From Roof,"Abstract: At 9:00 a.m. on November 25, 2019, Employee #1 was replacing rotted wood, on the edge of a roof, during a construction project. As Employee #1 stepped onto a joist to steady himself, while removing the plywood, the joist below him collapsed. Employee #1 fell approximately nine-and-half-feet, head first, striking the brick pavers below and then landed on the walkway. As a result of the incident, Employee #1 suffered fatal fractures to the skull and was then pronounced dead at the scene.","Keywords: Collapse, Construction, Fall, Falling Object, Footings, Fracture, Guard, Guardrail, Head, Joist, Leading Edge, Lost Control, Lost consciousness, Lumber, Maintenance, Planking, Roof, Skull, Struck By, Structural Collapse",,,,,X,56,M,Fatality,Roofers,61,47,48.0,40.0,16,29.86,09:00:00,52 °F,47 °F,83 %,NW,29.82 in,0.0 in,Fair,93933,CA,Fall,3 mph,0 mph,36.673053,-121.7906526,CA 93933,2019-11-25,,,,,
